X;Y;amenageur;operateur;enseigne;idstation;station;adstation;codeinsee;Xlongitude;Ylatitude;nbrepdc;idpdc;puissmax;typeprise;accesrecharge;accessibilité;observations;date_maj
7.472565;43.8333150005374;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06036*001;;;06036;7.472565;43.8333150005374;2;;;type2,typee;Payant;24/7;node/7314626085;2020/03/21
7.554498;44.0024310005326;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06062*001;;;06062;7.554498;44.0024310005326;2;;;type2,typee;Payant;24/7;node/7314613943;2020/03/21
7.4429166;43.7869424005384;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06067*001;;;06067;7.4429166;43.7869424005384;2;;;type2,typee;Payant;24/7;node/7314626131;2020/03/21
7.487925;43.7762740005386;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06083*001;;;06083;7.487925;43.7762740005386;2;;;type2,typee;Payant;24/7;node/7314626128;2020/03/21
7.4916255;43.7687662005388;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06083*002;;;06083;7.4916255;43.7687662005388;2;;;type2,typee;Payant;24/7;node/7314626127;2020/03/21
7.507033;43.7751180005386;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06083*003;;;06083;7.507033;43.7751180005387;2;;;type2,typee;Payant;24/7;node/7314626117;2020/03/21
7.507036;43.7750940005386;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06083*004;;;06083;7.507036;43.7750940005387;2;;;type2,typee;Payant;24/7;node/7314626125;2020/03/21
7.513379;43.7819030005385;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06083*005;;;06083;7.513379;43.7819030005385;2;;;type2,typee;Payant;24/7;node/7314626115;2020/03/21
7.4920697;43.7906127005383;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06083*006;;;06083;7.4920697;43.7906127005384;2;;;type2,typee;Payant;24/7;node/7314626114;2020/03/21
7.494254;43.7810060005385;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06083*007;;;06083;7.494254;43.7810060005385;2;;;type2,typee;Payant;24/7;node/7314626116;2020/03/21
7.499757;43.7737460005387;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06083*008;;;06083;7.499757;43.7737460005387;2;;;type2,typee;Payant;24/7;node/7314626126;2020/03/21
7.414438;43.9415080005345;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06086*001;;;06086;7.414438;43.9415080005345;2;;;type2,typee;Payant;24/7;node/7314613967;2020/03/21
7.45799;43.7653230005388;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06104*001;;;06104;7.45799;43.7653230005389;2;;;type2,typee;Payant;24/7;node/7314626129;2020/03/21
7.4382758;43.7518435005391;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06104*002;;;06104;7.4382758;43.7518435005391;2;;;type2,typee;Payant;24/7;node/7314626132;2020/03/21
7.4795065;43.7601340005389;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06104*003;;;06104;7.4795065;43.7601340005389;2;;;type2,typee;Payant;24/7;node/7314626130;2020/03/21
7.462256;43.7991410005382;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06113*001;;;06113;7.462256;43.7991410005382;2;;;type2,typee;Payant;24/7;node/7314626094;2020/03/21
7.551562;43.989458000533;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06132*001;;;06132;7.551562;43.989458000533;2;;;type2,typee;Payant;24/7;node/7314613945;2020/03/21
7.4493702;43.8760953005363;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06136*001;;;06136;7.4493702;43.8760953005364;2;;;type2,typee;Payant;24/7;node/7314613976;2020/03/21
7.400442;43.7394920005393;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06150*001;;;06150;7.400442;43.7394920005393;2;;;type2,typee;Payant;24/7;node/7306751764;2020/03/18
7.616321;44.0633480005304;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06162*001;;;06162;7.616321;44.0633480005304;2;;;type2,typee;Payant;24/7;node/7314613942;2020/03/21
7.5933082;44.0893526005294;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06163*001;;;06163;7.5933082;44.0893526005294;2;;;type2,typee;Payant;24/7;node/7072919167;2020/03/12
